# Pointing,RA,DEC,integration time, IDs
P053+14,53.9759041667,13.8117416667,0.0,None
P039+26,39.2603583333,26.2419833333,0.0,None
P039+24,39.5672875,23.7344886111,0.0,None
P310+18,310.414,17.9528275,0.0,None
P067+77,67.9509833333,76.6478691667,0.0,None
P128+27,128.993858333,26.881565,0.0,None
P210+25,210.013854167,24.8086625,0.0,None
P210+27,210.4199625,27.3210805556,0.0,None
P265+43,265.520583333,42.7154016667,0.0,None
P210+20,210.4619125,19.7910819444,0.0,None
P314+68,314.7415625,68.1787891667,0.0,None
P309+41,309.828358333,40.5379055556,0.0,None
P312+20,312.459970833,20.47956,0.0,None
P312+23,312.155508333,22.9871536111,0.0,None
P312+26,312.950620833,25.5036877778,0.0,None
P083+37,83.6572208333,36.6271247222,0.0,None
P221+10,221.209908333,9.81051194444,0.0,None
P297+15,297.382029167,15.3391427778,0.0,None
P297+10,297.447279167,10.3193708333,0.0,None
P152+62,152.326854167,62.1460305556,8.01, 521538
P243+78,243.637295833,77.6843033333,0.0,None
P316+08,316.511070833,7.96207944444,0.0,None
P316+05,316.760775,5.45394111111,0.0,None
P019+59,19.31965,58.6994027778,0.0,None
P341+66,341.894833333,65.9004077778,0.0,None
P175+07,175.5341875,7.05554722222,0.0,None
P107+57,107.9670875,56.8684958333,0.0,None
P249+30,249.090679167,30.0580416667,0.0,None
P001+33,1.17842916667,33.4453383333,8.01, 531913
P315+03,315.938625,2.93706944444,0.0,None
P315+00,315.949779167,0.426818611111,0.0,None
P249+38,249.243820833,37.5884227778,0.0,None
P001+26,1.79254583333,25.9206819444,0.0,None
P214+35,214.111625,34.8708772222,8.01, 346002
P330+53,330.618608333,53.2589777778,0.0,None
P229+25,229.985883333,24.9215388889,0.0,None
P081+32,81.999375,31.5953922222,0.0,None
P229+20,229.726308333,19.899845,0.0,None
P213+73,213.5383,72.5007611111,0.0,None
P033+24,33.915125,23.6871786111,0.0,None
P033+26,33.4893875,26.1936663889,8.01, 523028
P063+06,63.4554958333,6.35590555556,0.0,None
P056+41,56.1516958333,41.4389447222,0.0,None
P264+63,264.331120833,62.7814577778,0.0,None
P264+60,264.574470833,60.2745222222,0.0,None
P333+33,333.295325,33.2038794444,0.0,None
P141+19,141.762075,19.4246863889,0.0,None
P333+31,333.093775,30.6921872222,0.0,None
P064+29,64.6202458333,28.9557266667,0.0,None
P321+28,321.497620833,28.0842877778,0.0,None
P321+26,321.5574875,25.5747613889,0.0,None
P080+39,80.6707458333,39.1154566667,0.0,None
P285+08,285.156433333,7.71570111111,0.0,None
P036+31,36.4925916667,31.2389722222,8.03, 521348
P080+37,80.4319166667,36.6040555556,0.0,None
P232+20,232.481875,19.91603,0.0,None
P037+11,37.5639541667,11.1672105556,0.0,None
P147+14,147.4081125,14.4358791667,0.0,None
P147+17,147.640895833,16.9473944444,0.0,None
P155+60,155.955304167,59.6569347222,8.68, 340796
P037+14,37.9868,13.6808997222,0.0,None
P222+60,222.958216667,60.0151519444,8.03, 521334
P147+19,147.252320833,19.4551577778,0.0,None
P242+38,242.711504167,37.5474672222,0.0,None
P101+42,101.164008333,41.7673244444,0.0,None
P101+44,101.839508333,44.2814941667,0.0,None
P195+15,195.549516667,14.69105,0.0,None
P015+03,15.5651875,3.44911194444,0.0,None
P307+18,307.693125,17.9310472222,0.0,None
P072+84,72.2413666667,84.1632833333,0.0,None
P018+69,18.2289583333,68.7238369444,0.0,None
P124+62,124.6781625,61.9895038889,0.0,None
P140+60,140.59425,59.5727519444,8.27, 590147
P320+13,320.83505,13.0182408333,0.0,None
P115+59,115.0811,59.4223938889,0.0,None
P279+48,279.147879167,47.8308333333,0.0,None
P022+84,22.3070458333,83.7668094444,0.0,None
P088+47,88.3948208333,46.6996622222,0.0,None
P285+58,285.688304167,57.9163855556,0.0,None
P011+29,11.477775,28.5150333333,0.0,None
P005+28,5.58715833333,28.4637766667,8.01, 531911
P284+80,284.477041667,80.4620361111,0.0,None
P011+23,11.31545,23.4935044444,0.0,None
P005+21,5.03954166667,20.9288163889,0.0,None
P348+48,348.9389125,48.3976305556,0.0,None
P005+23,5.6713625,23.4444194444,0.0,None
P000+23,0.03125,23.3952513889,0.0,None
P346+43,346.972745833,43.3611602778,0.0,None
P062+26,62.3678875,26.4282816667,0.0,None
P090+09,90.001225,9.061605,0.0,None
P227+07,227.715404167,7.33764333333,0.0,None
P294+30,294.0242875,30.373475,0.0,None
P227+02,227.839279167,2.31803,0.0,None
P356+53,356.657475,53.4838658333,0.0,None
P061+11,61.3180708333,11.3595558333,0.0,None
P061+16,61.1674833333,16.3786497222,0.0,None
P206+52,206.438791667,52.3962994444,8.7, 341408
P061+14,61.9737958333,13.8748141667,0.0,None
P206+50,206.992183333,49.8899288889,8.68, 340810
P169+82,169.5328625,82.2682744444,0.0,None
P134+80,134.609675,79.5870094444,0.0,None
P058+62,58.9665,61.5365361111,0.0,None
P108+09,108.352991667,9.18452777778,0.0,None
P19Hetdex17,181.04325,47.49272,8.03, 232233
P091+67,91.7466125,66.7952111111,0.0,None
